seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
75,100,0.7,0.3,0.9603960396039604,0.97,0.9651741293532338,97,4,3
75,100,0.6,0.6,0.77,0.77,0.7699999999999999,77,23,23
75,10,0.3,0.6,0.36363636363636365,0.4,0.380952380952381,4,7,6
75,10,0.3,0.7,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.4,0.5,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.5,0.7,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.5,0.6,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.4,0.4,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.4,0.3,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.6,0.3,0.1,0.1,0.10000000000000002,1,9,9
75,10,0.6,0.4,0.3,0.3,0.3,3,7,7
75,10,0.7,0.6,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.7,0.7,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.6,0.5,0.5,0.5,0.5,5,5,5
75,10,0.3,0.5,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.3,0.4,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.3,0.3,0.1,0.1,0.10000000000000002,1,9,9
75,10,0.4,0.6,0.3,0.3,0.3,3,7,7
75,10,0.5,0.3,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.5,0.4,0.3,0.3,0.3,3,7,7
75,10,0.5,0.5,0.6,0.6,0.6,6,4,4
75,10,0.4,0.7,0.1,0.1,0.10000000000000002,1,9,9
75,10,0.6,0.7,0.2,0.2,0.20000000000000004,2,8,8
75,10,0.7,0.5,0.4,0.4,0.4000000000000001,4,6,6
75,10,0.7,0.4,0.6,0.6,0.6,6,4,4
75,10,0.7,0.3,0.8,0.8,0.8000000000000002,8,2,2
75,10,0.6,0.6,0.3,0.3,0.3,3,7,7
75,50,0.3,0.6,0.54,0.54,0.54,27,23,23
75,50,0.3,0.7,0.48,0.48,0.48,24,26,26
