Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2007,10,30,,,2013-07-08,2007-10-30,"KC522077.1, KC522078.1, KC522079.1, KC522080.1, KC522092.1, KC522093.1, KC522094.1, KC522095.1, KC522107.1, KC522108.1, KC522109.1, KC522110.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2007,10,8,,,2013-07-08,2007-10-08,"KC522076.1, KC522091.1, KC522106.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2007,7,12,,,2013-07-08,2007-07-12,"KC522075.1, KC522090.1, KC522105.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2008,9,10,,,2013-07-08,2008-09-10,"KC522081.1, KC522096.1, KC522111.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2009,4,24,,,2013-07-08,2009-04-24,"KC522082.1, KC522097.1, KC522112.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2009,7,14,,,2013-07-08,2009-07-14,"KC522083.1, KC522084.1, KC522085.1, KC522098.1, KC522099.1, KC522100.1, KC522113.1, KC522114.1, KC522115.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2010,10,14,,,2013-07-08,2010-10-14,"KC522086.1, KC522101.1, KC522116.1"
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2012,8,2,,,2013-07-08,2012-08-02,"KC522087.1, KC522088.1, KC522089.1, KC522102.1, KC522103.1, KC522104.1, KC522117.1, KC522118.1, KC522119.1"
,betacoronavirus rousetti,29075,3418615,TRUE,TRUE,TRUE,macroglossus,pteropodidae,chiroptera,mammalia,Macroglossus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2017,11,14,2013,11,28,,,2017-11-14,2013-11-28,"KX285758.1, KX285761.1"
,betacoronavirus rousetti,9397,3418615,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,21,,,,,,2007-02-21,,NC_009021.1
