seed,beta,clock,precision,recall,f1,TP,FP,FN
53,1,1.0,0.8959167333867094,0.5350227109729859,0.6699595868881905,2238,260,1945
53,0,0.5,0.5593303791235844,0.6121789114424286,0.5845626072041167,3408,2685,2159
53,1,0.5,0.5355314355928732,0.5064884756924268,0.5206052160063707,2615,2268,2548
53,0,1.0,0.7300782075671105,0.585820895522388,0.6500423449703584,3454,1277,2442
53,4,1.0,0.9229074889867841,0.7508960573476703,0.8280632411067194,1257,105,417
163,4,0.5,0.42598075499629906,0.4799833194328607,0.4513725490196079,2302,3102,2494
163,1,0.1,0.4610269099907207,0.4042582045023054,0.43078034682080923,2981,3485,4393
163,4,0.1,0.4135079255685734,0.46884157061926157,0.43943971436418566,2400,3404,2719
163,1,1.0,0.43938060883336266,0.45433042212518193,0.4467304767868324,2497,3186,2999
163,0,0.5,0.5072298325722984,0.34899856002094515,0.41349360217138426,2666,2590,4973
163,1,0.5,0.49975284231339595,0.4641162968630451,0.48127578546493177,3033,3036,3502
163,0,1.0,0.4312151616499443,0.34752920035938906,0.38487562189054736,1934,2551,3631
163,4,1.0,0.41203703703703703,0.5108167770419426,0.45614035087719296,2314,3302,2216
152,4,0.5,0.8872266973532796,0.8048016701461378,0.8440065681444993,771,98,187
152,0,0.1,0.5185431564942624,0.5415074678707885,0.5297765695352986,3118,2895,2640
152,1,0.1,0.45419103313840153,0.4567731817290727,0.45547844785455965,2330,2800,2771
152,4,0.1,0.5246409921671018,0.6320031452722626,0.5733392777530094,3215,2913,1872
152,1,1.0,0.9028648164726947,0.6089975845410628,0.7273710782545978,2017,217,1295
152,0,0.5,0.4545830746948065,0.4998862343572241,0.47615951452102295,2197,2636,2198
152,1,0.5,0.5358455882352942,0.6682714351215039,0.594776576208937,2915,2525,1447
152,0,1.0,0.5228346456692914,0.6115588303016348,0.5637270508330681,2656,2424,1687
152,4,1.0,0.9552023121387283,0.6744897959183673,0.7906698564593301,661,31,319
97,4,0.5,0.9475926714955262,0.700693131695022,0.8056511501539575,2224,123,950
97,0,0.1,0.6141786903440621,0.534145752895753,0.5713732576148683,4427,2781,3861
97,4,0.1,0.7598193244304792,0.49255251432208785,0.5976674133003784,3869,1223,3986
97,1,1.0,0.7856996935648621,0.6440053583389149,0.707831048127358,3846,1049,2126
