seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
42,50,0.7,0.5,0.6428571428571429,0.9,0.75,45,25,5
42,50,0.7,0.4,0.7142857142857143,0.9,0.7964601769911505,45,18,5
42,50,0.7,0.3,0.7758620689655172,0.9,0.8333333333333334,45,13,5
42,50,0.6,0.6,0.5357142857142857,0.9,0.6716417910447762,45,39,5
75,100,0.3,0.6,0.7169811320754716,0.76,0.7378640776699028,76,30,24
75,100,0.3,0.7,0.6335877862595419,0.83,0.7186147186147186,83,48,17
75,100,0.4,0.5,0.7904761904761904,0.83,0.8097560975609757,83,22,17
75,100,0.5,0.7,0.6557377049180327,0.8,0.7207207207207207,80,42,20
75,100,0.5,0.6,0.7291666666666666,0.7,0.7142857142857142,70,26,30
75,100,0.4,0.4,0.8541666666666666,0.82,0.836734693877551,82,14,18
75,100,0.4,0.3,0.8910891089108911,0.9,0.8955223880597015,90,11,10
75,100,0.6,0.3,0.8910891089108911,0.9,0.8955223880597015,90,11,10
75,100,0.6,0.4,0.9042553191489362,0.85,0.8762886597938143,85,9,15
75,100,0.7,0.6,0.8272727272727273,0.91,0.8666666666666667,91,19,9
75,100,0.7,0.7,0.7777777777777778,0.77,0.7738693467336684,77,22,23
75,100,0.6,0.5,0.7927927927927928,0.88,0.8341232227488151,88,23,12
75,100,0.3,0.5,0.7431192660550459,0.81,0.7751196172248804,81,28,19
75,100,0.3,0.4,0.81,0.81,0.81,81,19,19
75,100,0.3,0.3,0.8541666666666666,0.82,0.836734693877551,82,14,18
75,100,0.4,0.6,0.7171717171717171,0.71,0.7135678391959798,71,28,29
75,100,0.5,0.3,0.8921568627450981,0.91,0.900990099009901,91,11,9
75,100,0.5,0.4,0.8901098901098901,0.81,0.8481675392670157,81,10,19
75,100,0.5,0.5,0.8020833333333334,0.77,0.7857142857142857,77,19,23
75,100,0.4,0.7,0.6446280991735537,0.78,0.7058823529411764,78,43,22
75,100,0.6,0.7,0.6990291262135923,0.72,0.7093596059113302,72,31,28
75,100,0.7,0.5,0.900990099009901,0.91,0.9054726368159204,91,10,9
75,100,0.7,0.4,0.9270833333333334,0.89,0.9081632653061226,89,7,11
75,100,0.7,0.3,0.968421052631579,0.92,0.9435897435897437,92,3,8
75,100,0.6,0.6,0.7684210526315789,0.73,0.7487179487179486,73,22,27
75,10,0.4,0.5,0.24242424242424243,0.8,0.372093023255814,8,25,2
75,10,0.5,0.6,0.20930232558139536,0.9,0.339622641509434,9,34,1
75,10,0.4,0.4,0.32142857142857145,0.9,0.4736842105263158,9,19,1
75,10,0.4,0.3,0.42857142857142855,0.9,0.5806451612903225,9,12,1
75,10,0.6,0.3,0.4166666666666667,1.0,0.5882352941176471,10,14,0
75,10,0.6,0.4,0.4,1.0,0.5714285714285715,10,15,0
75,10,0.7,0.6,0.3225806451612903,1.0,0.4878048780487805,10,21,0
