thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.241,0.5301204819277109,0.7213114754098361,44,39,17,85,83,61
0.242,0.5357142857142857,0.7377049180327869,45,39,16,85,84,61
0.243,0.5357142857142857,0.7377049180327869,45,39,16,85,84,61
0.244,0.5357142857142857,0.7377049180327869,45,39,16,85,84,61
0.245,0.5357142857142857,0.7377049180327869,45,39,16,85,84,61
0.246,0.5357142857142857,0.7377049180327869,45,39,16,85,84,61
0.247,0.5294117647058824,0.7377049180327869,45,40,16,84,85,61
0.248,0.5348837209302325,0.7540983606557377,46,40,15,84,86,61
0.249,0.5287356321839081,0.7540983606557377,46,41,15,83,87,61
0.25,0.5287356321839081,0.7540983606557377,46,41,15,83,87,61
0.251,0.5340909090909091,0.7704918032786885,47,41,14,83,88,61
0.252,0.5333333333333333,0.7868852459016393,48,42,13,82,90,61
0.253,0.5274725274725275,0.7868852459016393,48,43,13,81,91,61
0.254,0.5274725274725275,0.7868852459016393,48,43,13,81,91,61
0.255,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.256,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.257,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.258,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.259,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.26,0.5217391304347826,0.7868852459016393,48,44,13,80,92,61
0.261,0.5161290322580645,0.7868852459016393,48,45,13,79,93,61
0.262,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.263,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.264,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.265,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.266,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.267,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.268,0.5106382978723404,0.7868852459016393,48,46,13,78,94,61
0.269,0.5052631578947369,0.7868852459016393,48,47,13,77,95,61
0.27,0.5052631578947369,0.7868852459016393,48,47,13,77,95,61
0.271,0.5052631578947369,0.7868852459016393,48,47,13,77,95,61
