virus_id,host_id,virus_genus,host_name,status
3433633,76837,betacoronavirus,rhinolophus philippinensis,incorrect_but_suspected
3433633,320431,betacoronavirus,rhinolophus acuminatus,incorrect_but_suspected
3433633,608659,betacoronavirus,rhinolophus malayanus,incorrect_but_suspected
3433633,178895,betacoronavirus,rhinolophus creaghi,correct
3433633,76834,betacoronavirus,rhinolophus arcuatus,incorrect_but_suspected
3433633,608708,betacoronavirus,rhinolophus shameli,incorrect_but_suspected
3433633,59477,betacoronavirus,rhinolophus affinis,correct
3433633,430491,betacoronavirus,rhinolophus stheno,incorrect_but_suspected
3433633,476589,betacoronavirus,rhinolophus thomasi,correct
3433633,89399,betacoronavirus,rhinolophus sinicus,correct
3433633,188571,betacoronavirus,rhinolophus pearsonii,correct
3433633,249024,betacoronavirus,rhinolophus alcyone,incorrect_but_suspected
3433633,2603865,betacoronavirus,rhinolophus lobatus,host not in dataset
3433633,2603866,betacoronavirus,rhinolophus rhodesiae,host not in dataset
3433633,519041,betacoronavirus,rhinolophus simulator,incorrect_but_unlikely
3433633,302408,betacoronavirus,rhinolophus capensis,incorrect_but_unlikely
3433633,49443,betacoronavirus,rhinolophus darlingi,incorrect_but_suspected
3433633,59478,betacoronavirus,rhinolophus clivosus,correct
3433633,342862,betacoronavirus,rhinolophus mehelyi,correct
3433633,519037,betacoronavirus,rhinolophus blasii,correct
3433633,337453,betacoronavirus,rhinolophus luctus,incorrect_but_suspected
3433633,430492,betacoronavirus,rhinolophus trifoliatus,incorrect_but_suspected
3433633,77218,betacoronavirus,rhinolophus hipposideros,correct
3433633,1195082,betacoronavirus,triaenops menamena,host not in dataset
3433633,329870,betacoronavirus,triaenops persicus,correct
3433633,549403,betacoronavirus,triaenops afer,host not in dataset
3433633,3371112,betacoronavirus,lyroderma lyra,host not in dataset
3433633,124756,betacoronavirus,rhinopoma hardwickii,correct
3433633,132908,betacoronavirus,pteropus vampyrus,incorrect_but_suspected
3433633,166054,betacoronavirus,pteropus lylei,incorrect_but_suspected
3433633,196297,betacoronavirus,pteropus rufus,incorrect_but_negative
3433633,385575,betacoronavirus,pteropus dasymallus,incorrect_but_suspected
3433633,328804,betacoronavirus,pteropus conspicillatus,incorrect_but_suspected
3433633,9402,betacoronavirus,pteropus alecto,correct
3433633,9403,betacoronavirus,pteropus poliocephalus,incorrect_but_suspected
3433633,58057,betacoronavirus,acerodon celebensis,incorrect_but_suspected
3433633,1410044,betacoronavirus,epomops buettikoferi,incorrect_but_suspected
3433633,1898389,betacoronavirus,epomops sp.,host not in dataset
3433633,77231,betacoronavirus,epomops franqueti,correct
3433633,2853157,betacoronavirus,epomophorus pusillus,host not in dataset
3433633,372077,betacoronavirus,epomophorus gambianus,correct
3433633,903567,betacoronavirus,epomophorus labiatus,correct
3433633,58067,betacoronavirus,epomophorus wahlbergi,incorrect_but_suspected
3433633,498220,betacoronavirus,nanonycteris veldkampii,incorrect_but_suspected
3433633,448084,betacoronavirus,hypsignathus monstrosus,incorrect_but_suspected
3433633,58071,betacoronavirus,myonycteris angolensis,incorrect_but_suspected
3433633,77243,betacoronavirus,myonycteris torquata,incorrect_but_suspected
3433633,58073,betacoronavirus,megaloglossus woermanni,correct
3433633,1898393,betacoronavirus,rousettus sp.,host not in dataset
3433633,58083,betacoronavirus,rousettus amplexicaudatus,correct
3433633,77223,betacoronavirus,rousettus madagascariensis,incorrect_but_suspected
3433633,9407,betacoronavirus,rousettus aegyptiacus,correct
3433633,9408,betacoronavirus,rousettus leschenaultii,correct
3433633,58065,betacoronavirus,eonycteris spelaea,correct
3433633,58063,betacoronavirus,eidolon dupreanum,correct
3433633,77214,betacoronavirus,eidolon helvum,correct
3433633,1898386,betacoronavirus,cynopterus sp.,host not in dataset
3433633,58060,betacoronavirus,cynopterus brachyotis,correct
3433633,9400,betacoronavirus,cynopterus sphinx,correct
3433633,298110,betacoronavirus,,host_unknown
3433633,77233,betacoronavirus,megaerops niphanae,correct
3433633,374419,betacoronavirus,megaerops kusnotoi,incorrect_but_suspected
3433633,326081,betacoronavirus,dyacopterus spadiceus,correct
3433633,326151,betacoronavirus,penthetor lucasii,host not in dataset
3433633,326083,betacoronavirus,macroglossus sobrinus,incorrect_but_suspected
3433633,1381355,betacoronavirus,taphozous perforatus,correct
3433633,187003,betacoronavirus,taphozous melanopogon,incorrect_but_suspected
3433633,907075,betacoronavirus,coleura afra,incorrect_but_suspected
3433633,258909,betacoronavirus,,host_unknown
3433633,909369,betacoronavirus,glauconycteris variegata,incorrect_but_suspected
3433633,29078,betacoronavirus,eptesicus fuscus,incorrect_but_suspected
3433633,2969767,betacoronavirus,histiotus laephotis,incorrect_but_unlikely
3433633,3371014,betacoronavirus,cnephaeus japonensis,host not in dataset
3433633,3371016,betacoronavirus,cnephaeus nilssonii,host not in dataset
3433633,3371021,betacoronavirus,cnephaeus serotinus,host not in dataset
3433633,59474,betacoronavirus,pipistrellus pipistrellus,correct
3433633,999321,betacoronavirus,hypsugo alaschanicus,incorrect_but_suspected
3433633,143942,betacoronavirus,chalinolobus tuberculatus,incorrect_but_unlikely
3433633,258889,betacoronavirus,chalinolobus gouldii,incorrect_but_unlikely
3433633,2491053,betacoronavirus,falsistrellus mackenziei,incorrect_but_unlikely
3433633,258944,betacoronavirus,neoromicia somalicus,incorrect_but_suspected
3433633,258959,betacoronavirus,tylonycteris pachypus,correct
3433633,526822,betacoronavirus,tylonycteris robustula,incorrect_but_unlikely
1508220,258946,,pipistrellus coromandra,virus_unknown
1508220,187011,,nyctalus plancyi,virus_unknown
1508220,294653,,pipistrellus hesperidus,virus_unknown
1508220,110941,,macronycteris commersonii,virus_unknown
1508220,2603869,,macronycteris vittatus,virus_unknown
1508220,188569,,hipposideros pratti,virus_unknown
1508220,59453,,hipposideros diadema,virus_unknown
1508220,186991,,hipposideros armiger,virus_unknown
1508220,157961,,hipposideros bicolor,virus_unknown
1508220,334201,,hipposideros pomona,virus_unknown
1508220,249020,,hipposideros abae,virus_unknown
1508220,584995,,hipposideros fuliginosus,virus_unknown
1508220,376555,,rhinolophus pusillus,virus_unknown
1508220,188570,,rhinolophus lepidus,virus_unknown
1508220,188572,,rhinolophus rex,virus_unknown
1508220,867892,,rhinolophus siamensis,virus_unknown
1508220,320431,,rhinolophus acuminatus,virus_unknown
