thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.315,0.5841584158415841,0.9516129032258065,59,42,3,81,101,62
0.316,0.5841584158415841,0.9516129032258065,59,42,3,81,101,62
0.317,0.5784313725490197,0.9516129032258065,59,43,3,80,102,62
0.318,0.5769230769230769,0.967741935483871,60,44,2,79,104,62
0.319,0.5714285714285714,0.967741935483871,60,45,2,78,105,62
0.32,0.5754716981132075,0.9838709677419355,61,45,1,78,106,62
0.321,0.5700934579439252,0.9838709677419355,61,46,1,77,107,62
0.322,0.5700934579439252,0.9838709677419355,61,46,1,77,107,62
0.323,0.5700934579439252,0.9838709677419355,61,46,1,77,107,62
0.324,0.5700934579439252,0.9838709677419355,61,46,1,77,107,62
0.325,0.5648148148148148,0.9838709677419355,61,47,1,76,108,62
0.326,0.5596330275229358,0.9838709677419355,61,48,1,75,109,62
0.327,0.5596330275229358,0.9838709677419355,61,48,1,75,109,62
0.328,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.329,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.33,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.331,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.332,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.333,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.334,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.335,0.5545454545454546,0.9838709677419355,61,49,1,74,110,62
0.336,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.337,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.338,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.339,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.34,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.341,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.342,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.343,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.344,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.345,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.346,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.347,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
