threshold,lambda,precision,recall,n_predicted,predpos,acc
0.1020408163265306,0.42857142857142855,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.44897959183673464,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.4693877551020408,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.4897959183673469,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.5102040816326531,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.5306122448979591,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.5510204081632653,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.5714285714285714,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.5918367346938775,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.6122448979591836,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.6326530612244897,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.6530612244897959,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.673469387755102,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.6938775510204082,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.7142857142857142,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.7346938775510203,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.7551020408163265,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.7755102040816326,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.7959183673469387,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.8163265306122448,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.836734693877551,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
