AssocID,Host,HostClass,HostOrder,HostFamily,HostGenus,HostTaxID,HostNCBIResolved,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,VirusTaxID,VirusNCBIResolved,ICTVRatified,PublicationYear,ReleaseYear,ReferenceText,PMID,NCBIAccession,Database,DatabaseVersion,DatabaseDOI,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,HostOriginal,VirusOriginal,DetectionMethodOriginal
211376,rhinolophus euryale,mammalia,chiroptera,rhinolophidae,rhinolophus,109476,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2010,,Drexler et al. 2010,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus euryale,severe acute respiratory syndrome-related coronavirus,PCR
211394,rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,rhinolophus,59479,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2007,,"Cui J, 2007, Emerg Infect Dis, 13",18258002,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus ferrumequinum,rhinolophus bat coronavirus hku2,PCR
211395,rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,rhinolophus,59479,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,2006,NCBI Nucleotide,,89514809,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,NCBI Nucleotide
211396,rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,rhinolophus,59479,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2006,,Calisher et al. 2006,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,Isolation
211397,rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,rhinolophus,59479,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2005,,"Li W, 2005, Science, 310",16195424,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,Isolation
211398,rhinolophus ferrumequinum,mammalia,chiroptera,rhinolophidae,rhinolophus,59479,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,Isolation
211406,rhinolophus macrotis,mammalia,chiroptera,rhinolophidae,rhinolophus,196889,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2007,,"Cui J, 2007, Emerg Infect Dis, 13",18258002,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus macrotis,rhinolophus bat coronavirus hku2,PCR
211407,rhinolophus macrotis,mammalia,chiroptera,rhinolophidae,rhinolophus,196889,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,2006,NCBI Nucleotide,,89514824,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus macrotis,severe acute respiratory syndrome-related coronavirus,NCBI Nucleotide
211408,rhinolophus macrotis,mammalia,chiroptera,rhinolophidae,rhinolophus,196889,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2006,,Calisher et al. 2006,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus macrotis,severe acute respiratory syndrome-related coronavirus,Isolation
211409,rhinolophus macrotis,mammalia,chiroptera,rhinolophidae,rhinolophus,196889,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2008,,"Shi Z, 2008, Virus Res, 133",17451830,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus macrotis,severe acute respiratory syndrome-related coronavirus,PCR
